Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
1,1740,1736,0-1,8,-,-,11,8,"9,10,11",c1e3,"e7e6,d4c3,e8c8"
3,1542,1600,1-0,-,9,8,-,"8,9,9",8,"c1f4,e1c1,e1c1",c7c6
6,2245,2212,1-0,8,-,7,-,8,7,e1g1,e8g8
5,1056,966,0-1,9,-,-,13,9,"10,11,12,13",e1g1,"c4a5,d6e5,d7c6,e7e6"
2,1507,1511,1-0,4,-,10,-,4,10,c2c4,d5e4
8,1004,1050,1-0,4,-,-,-,4,-,d2d4,-
9,1798,1827,1-0,9,-,10,-,"5,6,7,8,9",10,"f3d4,e1g1,d4c6,d4c6,a2a4",b4c5
0,1802,1878,0-1,-,10,9,-,"4,5,6,7,8,9,10,10","7,8,9","b1c3,d2d4,c3d5,c1e3,e3d4,d1d4,e1c1,e1c1","e8g8,e8g8,e8g8"
10,1423,1434,0-1,9,-,9,-,"4,5,6,7,9",9,"b1c3,a2a3,d2d4,c3d4,e1g1",e8g8
15,1732,1723,0-1,7,-,6,-,7,6,d1c2,b8d7
11,1855,1819,0-1,10,-,-,-,"9,10,10","13,14,14,15,15","g2g4,e1c1,e1c1","g8f6,e8g8,e8g8,c6d5,c6d5"
13,2143,2164,0-1,-,-,9,-,"11,12,13,14",9,"c6a4,e2e3,f3d4,a4c2",e6d5
12,1844,1889,0-1,14,-,-,-,"11,12,13,14","14,15","f3g5,d5f6,c4e2,d2d4","e6g4,e6g4"
19,1565,1573,0-1,4,-,5,-,4,5,f3g5,f6e4
21,1917,1932,0-1,-,-,5,-,-,5,-,c6a5
4,1686,1717,1-0,-,11,-,-,"10,11,11","8,9,10,11,12,13,14,15,15","d1e2,e1c1,e1c1","f6g4,a7a6,e8g8,e8g8,c6a7,g4e3,e8g8,c6e5,c6e5"
7,1996,2020,1-0,-,15,-,13,"7,8,9,9,10,11,12,12,13,14,15","8,9,11,12,12,13,13","e4f6,e4f6,d3e4,d3e4,g5e7,e4f3,e1c1,e1c1,h2h3,f3f4,d2e3","g4f3,b8d7,b8d7,g7g6,g7g6,e7d6,e7d6"
14,1187,1199,0-1,11,-,-,11,"4,5,6,7,8,9,10,11",11,"b1c3,g5e6,g5e6,e6f8,g5f3,d2d4,b2b4,e1g1",e8c8
17,1666,1421,1-0,-,-,-,11,"12,13,14,15","10,11","b5c6,c1e3,e1g1,e3c5","e8c8,e6d5"
22,1792,1967,0-1,6,-,7,-,"5,6",7,"d2d4,c1f4",e8g8
24,1575,1532,0-1,14,-,-,-,"13,14",-,"c4c5,c5e3",-
18,2083,2160,0-1,12,-,7,-,"9,10,11,12",7,"e3e4,a2a3,d1f3,d1f3",e8g8
28,1334,1519,0-1,-,-,-,-,"8,9",-,"b1c3,h4f3",-
27,1830,1827,1-0,11,-,10,-,"10,11","8,9,10,10","c1d2,e1g1","e8c8,c6b4,e8g8,e8g8"
31,2209,2179,1-0,-,-,-,-,-,-,-,-
25,1972,1969,0-1,-,13,-,13,"9,10,11,12,13,13","9,10,11,12,13,13","d3e2,d1f3,g2f3,c1g5,h3h4,h3h4","g4f3,d5f3,e7e6,f6d5,e7e6,e7e6"
20,1808,1807,0-1,-,14,5,-,"6,7,8,9,10,11,12,13,14,14",5,"b1c3,b1c3,f4f5,f4e5,e3f4,h2h3,f4e3,f3h4,e1g1,e1c1",c7c5
32,1332,1463,0-1,8,-,7,-,8,7,h2h4,b8d7
30,1955,1965,0-1,10,-,10,-,10,"6,7,8,9,10",c4d5,"d6e7,d6e7,f6e4,e8g8,e8g8"
16,1707,1614,1-0,11,-,-,-,11,"4,5,6,7,8,9,10,11,12,13,13,14,14,15",e1g1,"e8g8,b4c3,b4d2,d7d6,e6d5,d8b6,d8b6,e8g8,g5g4,g5g4,h7h5,c6e5,c6e5,f6e5"
26,1748,1738,1-0,15,-,8,-,"8,9,10,10,11,11,12,12,13,13,14,14,15,15",8,"e1g1,h2h3,b5d3,b5d3,a4b3,a4b3,c3d5,c3d5,d2d3,d2d3,d2b4,d2b4,e1g1,e1g1",e8g8
35,958,1017,0-1,-,-,-,-,"4,5",-,"f3d4,c4f7",-
38,1595,1557,0-1,-,-,-,-,15,-,d2e3,-
34,1749,1808,1-0,11,-,10,-,"9,10,11","8,9,10","b5c6,a4b3,d1d2","a7a6,b6b5,c6a5"
29,1349,1240,1-0,13,-,14,-,"4,5,6,7,8,9,10,11,12,13",14,"e1g1,c4b5,c2c3,f3d4,d4c6,d1h5,d1h5,d1h5,d1g4,c1d2",b4e7
23,1675,1679,1-0,-,-,-,-,"8,9,10,11,12,13,14,14","10,12,13,14,15","d1d2,d1d2,h2h4,b5c6,f3f4,d1d2,f3f4,f3f4","h7h6,d6c5,h7h6,d8b8,h7h6"
41,1563,1554,1-0,-,-,8,-,-,8,-,a7a5
36,1461,1569,1-0,-,-,5,-,"12,13,14,15",5,"e2e3,h2h3,c3c2,f3e5",e8g8
45,1320,1312,1-0,-,-,4,-,-,4,-,c7c5
33,1576,1601,0-1,-,12,11,-,"8,9,10,11,12,12","8,9,10,11","c1e3,g5h4,e1g1,f2f4,e1c1,e1c1","e8g8,d8f6,f6g6,c7c6"
37,1697,1679,1-0,14,-,6,-,"6,7,8,9,10,11,12,13,14","5,6","b1d2,c4d5,d5b7,b3b7,e1g1,b4c5,c3d4,d4c6,c6e7","f6e4,e7e6"
44,1033,1072,0-1,-,11,-,-,"10,11",15,"f3b7,c3b5",h7g6
40,2016,1962,1-0,-,-,-,-,"6,8,9,10,11,12,13,14,15",-,"e1g1,b1d2,d3c2,f3f6,e3e4,e3e4,e3e4,c2d1,e3e4",-
48,1798,1749,0-1,-,-,8,-,-,"7,8",-,"c5a7,c7c6"
39,1622,1385,1-0,9,-,-,-,"8,9","9,10,11,12,13","g2f3,d2d4","e8c8,e8c8,e8c8,e8c8,g5g4"
50,1106,1038,1/2-1/2,7,-,5,-,7,5,e1g1,e8g8
46,1459,1458,1-0,13,-,11,-,13,"8,9,10,11",d1d4,"b4a5,e5e7,g5f6,c7c6"
49,1913,1873,1-0,10,-,15,-,"8,9,10","12,14,15","c4c5,h4f5,d4d5","d4c6,a7a6,d8c8"
52,1483,1577,0-1,9,-,9,-,"7,8,9","8,9","d5d6,d5d6,d1e2","d7e6,h7h6"
53,1993,2020,0-1,6,-,12,-,"5,6","11,12","d2d4,d2d4","e6d5,e7g5"
51,1490,1426,0-1,10,-,6,-,"6,7,8,9,10",6,"f3e5,a2a4,a2a4,e5f7,a2a4",d7d5
42,1827,1807,1-0,15,-,14,-,"9,10,11,12,13,14,15","7,8,9,10,11,12,13,14","e1g1,d2c4,d1b3,c4e2,g5f3,e1g1,e1g1","e8g8,e6e5,e8g8,d7b6,d7b6,e6e5,e8g8,e8g8"
43,1011,1065,0-1,8,-,-,-,8,"5,6,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15",c3d5,"h7h6,d8f6,c6e7,c6d4,c6d4,g4f3,g4f3,d4f3,d4f3,f3d2,f3d2,d2f3,d2f3,h7h5,h7h5,g4f3,g4f3,h7h5,h7h5"
56,1295,1285,0-1,-,-,-,-,"4,5,6,7,8,9,9","5,6,7,8","f3g5,d2d3,c3a4,c3d5,d1f3,f3d1,f3d1","e8g8,c6a5,g4f3,c6d4"
57,1621,1560,0-1,-,-,9,-,"10,11,12,13,14,15","8,9","b5d4,f4e5,d4b3,f3d5,d4b3,e1g1","d8a5,e8g8"
54,1600,1557,0-1,14,-,5,-,"6,7,8,9,10,11,12,13,14",5,"b1c3,b5d3,a4b3,c2c3,a2a3,b3a2,e4e5,e3f2,e1g1",c7c5
59,1850,1896,0-1,15,-,10,-,"14,15","4,5,6,7,8,9,10","e1g1,e1g1","b4c3,e5e4,d8d5,d5e7,e8g8,e5e4,e8g8"
60,1340,1320,1-0,8,-,-,-,"6,7,8",-,"d4c3,d4c4,d4d5",-
65,991,1056,1-0,-,-,-,-,-,-,-,-
47,918,937,0-1,-,-,-,-,"4,5,6,7,8,9,10,11,12,13","14,15","b1c3,d4e5,c4b3,c4b3,a2a4,b3c2,e1g1,d1h5,e1g1,c2f5","d8e7,d8e7"
58,1973,1975,1-0,14,-,14,-,"6,7,8,9,10,11,12,13,14","7,8,9,10,12,12,14,14","h2h3,h2h3,d1f3,e3f4,g2g3,d4c5,d4c5,b5c6,e1g1","g4h5,d6f4,e8g8,d6b4,d6c5,d6c5,e8g8,e8g8"
55,1851,1843,0-1,-,-,-,-,"6,7,8,9,10,11,12,13,14,15,15",-,"f3e5,f3e5,f3e5,g2g4,f3d4,c1d2,d5f4,c1d2,c1b2,b4c5,b4c5",-
63,1355,1363,0-1,-,-,8,-,-,8,-,a7a6
61,2018,2058,0-1,9,-,6,-,"6,7,8,9",6,"b1d2,e1g1,c4a2,e1g1",d6d5
67,1626,1606,1-0,4,-,6,-,4,"5,6",b1c3,"c5d4,d8e7"
66,1718,1753,0-1,-,-,7,-,"11,12,14","6,7","e1c1,f3d4,f3h3","d7d5,d7d5"
62,1429,1446,0-1,4,-,10,-,4,"8,9,10",f3e5,"e4f6,e4f2,e8g8"
69,1730,1681,1-0,-,-,-,-,10,"7,8,9",d1a4,"d8e7,c6b8,e8g8"
73,1058,1096,0-1,-,-,-,-,-,"11,12,13",-,"d6e5,d6b4,d4c3"
